37.5|559.53, 2850, 100|7880,8440,7800,8160,7720,7540|11952,11952,11952,11960,11952,11960|24100|11896
38.0|560.02, 2850, 100|7900,8460,7800,8160,7720,7540|11952,11952,11952,11960,11952,11960|24100|11896
38.6|560.38, 2850, 100|7900,8460,7800,8160,7720,7540|11952,11952,11952,11960,11952,11960|24100|11896
39.1|560.82, 2850, 100|7900,8460,7800,8160,7720,7540|11952,11952,11952,11960,11952,11960|24120|11896
39.6|561.10, 2850, 100|7900,8460,7800,8160,7720,7540|11952,11952,11952,11960,11952,11960|24120|11896
40.1|561.27, 2850, 100|7900,8460,7800,8180,7740,7560|11952,11952,11952,11960,11952,11960|24120|11896
40.6|561.54, 2850, 100|7900,8460,7800,8180,7740,7560|11952,11952,11952,11960,11952,11960|24120|11896
41.2|561.84, 2850, 100|7900,8460,7820,8180,7740,7560|11952,11952,11952,11960,11952,11960|24140|11896
41.7|561.85, 2850, 100|7900,8460,7820,8180,7740,7560|11952,11952,11952,11960,11952,11960|24160|11896
42.2|562.07, 2850, 100|7900,8480,7820,8180,7740,7560|11952,11952,11952,11960,11952,11960|24160|11896
42.7|562.18, 2850, 100|7920,8460,7820,8180,7740,7560|11952,11952,11952,11960,11952,11960|24180|11896
43.2|562.46, 2850, 100|7920,8480,7820,8180,7740,7560|11952,11944,11952,11960,11952,11960|24180|11896
43.8|561.55, 2850, 100|7900,8460,7800,8180,7720,7560|11952,11952,11952,11960,11952,11960|24140|11896
